date	format_time	player	system	shortcut
6/14/1999	0:02:09.46	Penev	PAL	Shortcut
8/7/1999	0:02:08.01	Penev	PAL	Shortcut
11/18/2000	0:02:06.08	Penev	PAL	Shortcut
11/18/2000	0:02:05.91	Penev	PAL	Shortcut
8/10/2004	0:02:05.70	Pobre	NTSC	Shortcut
9/15/2004	0:02:05.45	Steven G	NTSC	Shortcut
5/16/2005	0:02:05.42	Karlo	NTSC	Shortcut
11/14/2005	0:02:05.16	Karlo	NTSC	Shortcut
2/20/2010	0:02:05.14	VAJ	PAL	Shortcut
2/21/2010	0:02:04.71	VAJ	PAL	Shortcut
2/22/2010	0:02:04.57	Karlo	NTSC	Shortcut
12/17/2010	0:02:04.56	VAJ	PAL	Shortcut
7/18/2012	0:02:03.97	VAJ	PAL	Shortcut
7/27/2012	0:02:03.73	VAJ	PAL	Shortcut
3/17/2015	0:02:03.11	abney317	PAL	Shortcut
4/30/2015	0:02:03.09	abney317	NTSC	Shortcut
4/9/2016	0:02:02.82	abney317	PAL	Shortcut
9/11/1998	0:02:08.30	Penev	PAL	Non-Shortcut
9/13/1998	0:02:08.22	Penev	PAL	Non-Shortcut
9/29/1998	0:02:08.12	Penev	PAL	Non-Shortcut
10/1/1998	0:02:07.92	Penev	PAL	Non-Shortcut
10/2/1998	0:02:07.90	Penev	PAL	Non-Shortcut
10/17/1998	0:02:07.80	Penev	PAL	Non-Shortcut
10/20/1998	0:02:07.49	Penev	PAL	Non-Shortcut
1/12/1999	0:02:07.09	Penev	PAL	Non-Shortcut
5/12/1999	0:02:07.02	Booth	NTSC	Non-Shortcut
6/26/1999	0:02:06.68	Peter E	NTSC	Non-Shortcut
12/15/1999	0:02:06.66	Booth	NTSC	Non-Shortcut
1/30/2000	0:02:06.53	Mike S	NTSC	Non-Shortcut
2/13/2000	0:02:06.13	Zwartjes	PAL	Non-Shortcut
6/24/2002	0:02:06.11	Lacey	PAL	Non-Shortcut
4/30/2003	0:02:06.00	MJ	PAL	Non-Shortcut
8/29/2003	0:02:05.71	MJ	PAL	Non-Shortcut
8/31/2003	0:02:05.65	MJ	PAL	Non-Shortcut
6/9/2004	0:02:05.60	Troy	NTSC	Non-Shortcut
6/18/2004	0:02:05.56	MJ	PAL	Non-Shortcut
2/24/2008	0:02:05.55	MJ	PAL	Non-Shortcut
2/25/2008	0:02:05.33	MJ	PAL	Non-Shortcut
1/23/2012	0:02:05.28	MR	PAL	Non-Shortcut
1/24/2012	0:02:05.17	MJ	PAL	Non-Shortcut
8/14/2012	0:02:05.17	VAJ	PAL	Non-Shortcut
10/5/2013	0:02:05.13	MR	PAL	Non-Shortcut
10/15/2013	0:02:05.09	MJ	PAL	Non-Shortcut
10/24/2013	0:02:05.07	MR	PAL	Non-Shortcut
1/22/2014	0:02:04.97	MJ	PAL	Non-Shortcut
1/23/2014	0:02:04.85	MR	PAL	Non-Shortcut
11/1/2015	0:02:04.84	abney317	PAL	Non-Shortcut
11/2/2015	0:02:04.79	abney317	PAL	Non-Shortcut
11/5/2015	0:02:04.67	abney317	PAL	Non-Shortcut
11/6/2015	0:02:04.48	MR	PAL	Non-Shortcut
11/7/2015	0:02:04.45	abney317	PAL	Non-Shortcut
11/10/2015	0:02:04.35	abney317	PAL	Non-Shortcut
11/16/2015	0:02:04.33	abney317	PAL	Non-Shortcut
11/17/2015	0:02:04.33	MR	PAL	Non-Shortcut
11/24/2015	0:02:04.32	abney317	PAL	Non-Shortcut
2/12/2016	0:02:04.30	MR	PAL	Non-Shortcut
2/12/2016	0:02:04.24	abney317	PAL	Non-Shortcut
10/15/2016	0:02:04.23	MR	PAL	Non-Shortcut
