date	format_time	player
04/01/2017	1:40:05	cheese05
11/29/2016	1:40:10	cheese05
8/6/2016	1:40:12	cheese05
6/9/2016	1:40:29	cheese05
4/30/2016	1:40:39	cheese05
12/19/2015	1:40:44	puncayshun
9/6/2015	1:40:52	cheese05
8/10/2015	1:40:59	puncayshun
4/22/2015	1:41:12	cheese05
4/5/2015	1:41:16	cheese05
3/7/2015	1:42:09	Nero
2/27/2015	1:42:15	Nero
12/18/2014	1:42:32	puncayshun
9/24/2014	1:42:41	puncayshun
8/16/2014	1:42:57	puncayshun
7/20/2014	1:43:15	puncayshun
7/15/2014	1:43:35	puncayshun
5/22/2014	1:43:42	puncayshun
4/22/2014	1:43:53	Siglemic
1/31/2013	1:44:01	Siglemic
10/15/2012	1:44:23	Siglemic
9/2/2012	1:44:52	Siglemic
8/9/2012	1:45:35	Siglemic
8/10/2012	1:45:41	Honey
8/7/2012	1:46:21	Siglemic
3/15/2012	1:46:35	Nero
3/2/2012	1:47:05	Honey
12/28/2011	1:47:10	Siglemic
10/1/2011	1:48:50	Honey
5/19/2011	1:49:49	Elmo
2/19/2011	1:51:36	Elmo
12/24/2010	1:52:02	Batora
