date	format_time	player
10/9/2016	0:47:56.00	cheese05
6/3/2016	0:48:15.00	cheese05
5/18/2016	0:48:17.00	Xiah
2/4/2016	0:48:20.00	Puncayshun
4/21/2015	0:48:35.57	Puncayshun
11/4/2014	0:48:45.95	Puncayshun
7/2/2014	0:48:57.66	Puncayshun
7/1/2014	0:49:00.00	Puncayshun
6/26/2014	0:49:04.80	Puncayshun
5/26/2014	0:49:05.04	Puncayshun
11/20/2012	0:49:09.00	Siglemic
11/18/2012	0:49:26.00	Siglemic
6/13/2012	0:49:34.00	Siglemic
3/2/2012	0:49:42.00	Honey
10/25/2011	0:50:14.00	Nero
8/31/2011	0:50:36.00	Honey
8/22/2011	0:51:08.00	Honey
7/22/2011	0:51:30.00	Honey
6/21/2011	0:51:38.00	Tapioca
3/10/2011	0:51:53.00	Batora
1/30/2011	0:52:06.00	Tapioca
12/13/2010	0:52:30.00	Batora
10/4/2010	0:53:09.00	Tapioca
7/7/2010	0:53:45.00	Hisu
4/29/2010	0:54:23.00	Honey
1/29/2010	0:55:17.00	Batora
12/26/2009	0:55:32.00	Koburetti
9/15/2009	0:56:47.00	Koburetti
5/29/2005	1:01:32.00	LeCoureur103
