format_time	date	player	feature
0:04:56.878	10/5/2016	darbian	
0:04:57.194	10/3/2016	Kosmicd12	Flagpole Glitch
0:04:57.244	8/10/2016	darbian	
0:04:57.260	4/14/2016	darbian	
0:04:57.427	1/14/2016	darbian	Fast 4-2
0:04:57.627	10/18/2015	darbian	
0:04:57.693	6/25/2014	i_o_l (Blubbler)	Bullet Bill Glitch
0:04:58.092	3/25/2014	andrewg	
0:04:58.140	10/7/2013	andrewg	
0:04:58.780	1/15/2013	andrewg	
0:04:58.890	12/15/2011	andrewg	
0:04:59.400	12/24/2010	andrewg	
0:05:00.400	12/23/2010	andrewg	
0:05:00.600	4/10/2007	andrewg	4-2 Wrong Warp
0:05:05.000	9/14/2006	Scott Kessler	
0:05:06.000	3/23/2006	andrewg	
0:05:06.000	11/7/2004	Trevor Seguin	
0:05:07.000	10/9/2004	Trevor Seguin	
0:05:10.000	4/23/2004	Scott Kessler	
