登録名	クリアタイム	更新年月日	Masters優勝
777	08:48.60	　	6
KOO	08:55.55	2012/3/31	7
MESO	08:57.66	2013/4/6	2
OST	08:58.18	2017/1/30	　
Sken	08:58.58	2016/4/26	2
かしわ	09:05.26	2016/10/2	　
SQR	09:09.18	2015/8/29	14
KENTRiS	09:13.38	2014/11/9H	1
コーリャン	09:15.61	2011/9/24	12
ZAB	09:15.95	2011/4/16	1
jin8	09:16.10	2012/12/22	14
ZON	09:17.81	2016/5/21	　
J.O	09:18.83	　	1
KAN	09:20.06	2016/3/25	4
にく	09:20.13	　	　
MR\MT	09:20.23	　	1
マキマキくん	09:21.73	2015/2/15	1
ANN	09:21.90	2011/8/21	　
KEI	09:24.70	2011/5/21	　
SKH	09:25.76	2014/11/18H	1
KevinDDR	09:26.26	2016/9/7	　
084	09:26.33	2012/12/5	　
776	09:27.86	　	　
HBM	09:30.71	2016/12/23	　
SAL	09:32.30	2014/4/16	3
ひよこ	09:34.01	　	1
Dzag	09:34.18	2013/8/3	　
PPP	09:34.35	2014/5/20	　
Qlex	09:35.30	2016/9/22	　
EMA	09:38.41	2013/7/13	　
SMD	09:38.66	2015/3/12	1
M.O.S	09:39.21	2014/8/25	　
TKO	09:39.56	　	　
CRCLUM	09:46.38	2015/12/20	　
Alex Kerr	09:46.81	2015/3/4	　
二科長@on-D	09:49.10	2013/8/4	　
H	09:49.46	2013/1/26	　
かず	09:50.26	　	　
HRT	09:54.60	2011/5/21	　
18	09:58.48	2015/8/29	　
弥七	10:00.56	2016/10/10	　
DDD	10:01.00	　	　
go	10:01.21	2016/10/3	　
YS23	10:01.48	　	　
UMC	10:05.05	　	　
JAGO	10:07.00	　	　
BOS.U	10:09.10	　	　
gangnohoho	10:09.70	2016/1/20	1
7	10:15.43	2011/1/9	　
KAZ	10:20.83	2011/5/21	　
りょくちゃ	10:22.20	2016/1/17	　
Betti	10:27.21	　	　
KTQ	10:29.80	　	　
SBY	10:32.56	2012/9/30	　
H.R	10:32.95	2016/2/20	　
清ッサ	10:40.00	　	　
BOEING	10:40.65	2011/12/23	　
まくまほん	10:41.01	2016/9/1	　
M-BOO	10:45.58	2015/10/9	　
SAI	10:46.13	　	　
Boom Boom Disco Nights	10:46.63	2015/8/29	　
JIM  10:46.76	　	　
YEN  10:47.70	2016/9/20	　
Yu   10:50.75	2012/3/1	　
283  10:53.48	2015/12/30	　
ドル 10:54.19	2014/11/22	　
２号 10:55.00	　	　
TK   10:55.81	　	　
TADA 10:57.86	　	　
NIB  11:00.25	　	　
613  11:03.73	　	　
ミスター	11:16.55	　	　
つぶなめ	11:17.40	2013/2/11	　
とらたん	11:18.58	2016/9/9	　
アラシ	11:18.81	2014/5/17	　
YUTOKI	11:19.00	　	　
MSK	11:21.30	2015/10/11	　
ちきんOBA	11:22.08	　	　
nicofromtokyo	11:26.76	2015/7/18	　
GSY	11:32.31	　	　
MOZ	11:35.93	2013/8/4	　
OKUBO	11:36.21	　	　
エディ	11:37.86	　	　
タロウ	11:46.00	　	　
BST	11:46.28	2012/2/25	　
Lemonist	11:47.36	2012/11/11	　
YTT	11:48.90	2012/4/21	　
ヤッチ	11:50.00	　	　
もぁ	11:52.53	　	　
AG	12:01.31	　	　
ヘザー	12:08.11	2016/7/23	　
GOD	12:10.68	　	　
TOP	12:10.80	2012/1/10	　
DAI	12:12.25	2013/12/8	　
山岸	12:13.68	　	　
A7X	12:14.00	　	　
キッコロー	12:23.81	2016/6/18	　
村上	12:38.13	　	　
Petit Prince	12:44.46	2015/8/16	　
JSRYO 13:06.21	　	　
BAC   13:13.88	2015/8/15	　
MAP   13:17.81	2015/10/11	　
SHOGO 13:19.31	2015/9/8	　
SBY   13:25.31	　	　
